"team_name","team_id"
"Abilene Christian","abilene-christian"
"Akron","akron"
"Alabama","alabama"
"Alabama State","alabama-state"
"Albany","albany-ny"
"American University","american"
"Appalachian State","appalachian-state"
"Arizona","arizona"
"Arizona State","arizona-state"
"Arkansas","arkansas"
"Auburn","auburn"
"Austin Peay","austin-peay"
"Baylor","baylor"
"Belmont","belmont"
"Boise State","boise-state"
"Boston University","boston-university"
"Bradley","bradley"
"Brigham Young","brigham-young"
"Bucknell","bucknell"
"Buffalo","buffalo"
"Butler","butler"
"Cal Poly","cal-poly"
"Cal State Bakersfield","cal-state-bakersfield"
"Cal State Fullerton","cal-state-fullerton"
"California","california"
"Charleston","college-of-charleston"
"Chattanooga","chattanooga"
"Cincinnati","cincinnati"
"Clemson","clemson"
"Cleveland State","cleveland-state"
"Coastal Carolina","coastal-carolina"
"Colgate","colgate"
"Colorado","colorado"
"Colorado State","colorado-state"
"Connecticut","connecticut"
"Creighton","creighton"
"Davidson","davidson"
"Dayton","dayton"
"Delaware","delaware"
"Detroit-Mercy","detroit-mercy"
"Drake","drake"
"Drexel","drexel"
"Duke","duke"
"East Tennessee State","east-tennessee-state"
"Eastern Kentucky","eastern-kentucky"
"Eastern Washington","eastern-washington"
"Fairleigh Dickinson","fairleigh-dickinson"
"Florida","florida"
"Florida Gulf Coast","florida-gulf-coast"
"Florida State","florida-state"
"Fresno State","fresno-state"
"Gardner-Webb","gardner-webb"
"George Mason","george-mason"
"George Washington","george-washington"
"Georgetown","georgetown"
"Georgia","georgia"
"Georgia State","georgia-state"
"Georgia Tech","georgia-tech"
"Gonzaga","gonzaga"
"Grand Canyon","grand-canyon"
"Green Bay","green-bay"
"Hampton","hampton"
"Hartford","hartford"
"Harvard","harvard"
"Hawaii","hawaii"
"Holy Cross","holy-cross"
"Houston","houston"
"Illinois","illinois"
"Indiana","indiana"
"Indiana State","indiana-state"
"Iona","iona"
"Iowa","iowa"
"Iowa State","iowa-state"
"Jacksonville State","jacksonville-state"
"James Madison","james-madison"
"Kansas","kansas"
"Kansas State","kansas-state"
"Kent State","kent-state"
"Kentucky","kentucky"
"La Salle","la-salle"
"Lafayette","lafayette"
"Lamar","lamar"
"Lehigh","lehigh"
"Liberty","liberty"
"Lipscomb","lipscomb"
"Little Rock","arkansas-little-rock"
"Long Beach State","long-beach-state"
"Long Island","long-island-university"
"Louisiana","louisiana-lafayette"
"Louisville","louisville"
"Loyola","loyola-il"
"LSU","louisiana-state"
"Manhattan","manhattan"
"Marquette","marquette"
"Marshall","marshall"
"Maryland","maryland"
"Massachusetts","massachusetts"
"Memphis","memphis"
"Mercer","mercer"
"Miami","miami-fl"
"Michigan","michigan"
"Michigan State","michigan-state"
"Middle Tennessee State","middle-tennessee"
"Milwaukee","milwaukee"
"Minnesota","minnesota"
"Mississippi State","mississippi-state"
"Mississippi Valley State","mississippi-valley-state"
"Missouri","missouri"
"Montana","montana"
"Morehead State","morehead-state"
"Mount St. Mary's","mount-st-marys"
"Murray State","murray-state"
"NC State","north-carolina-state"
"Nebraska","nebraska"
"Nevada","nevada"
"New Mexico","new-mexico"
"New Mexico State","new-mexico-state"
"New Orleans","new-orleans"
"Norfolk State","norfolk-state"
"North Carolina","north-carolina"
"North Carolina A&T","north-carolina-at"
"North Carolina Central","north-carolina-central"
"North Dakota","north-dakota"
"North Dakota State","north-dakota-state"
"North Florida","north-florida"
"North Texas","north-texas"
"Northeastern","northeastern"
"Northern Colorado","northern-colorado"
"Northern Iowa","northern-iowa"
"Northern Kentucky","northern-kentucky"
"Northwestern","northwestern"
"Northwestern State","northwestern-state"
"Notre Dame","notre-dame"
"Oakland","oakland"
"Ohio","ohio"
"Ohio State","ohio-state"
"Oklahoma","oklahoma"
"Oklahoma State","oklahoma-state"
"Old Dominion","old-dominion"
"Ole Miss","mississippi"
"Oral Roberts","oral-roberts"
"Oregon","oregon"
"Oregon State","oregon-state"
"Pacific","pacific"
"Penn State","penn-state"
"Pennsylvania","pennsylvania"
"Pittsburgh","pittsburgh"
"Prairie View A&M","prairie-view"
"Princeton","princeton"
"Providence","providence"
"Purdue","purdue"
"Radford","radford"
"Rhode Island","rhode-island"
"Richmond","richmond"
"Robert Morris","robert-morris"
"Rutgers","rutgers"
"Saint Joseph's","saint-josephs"
"Saint Louis","saint-louis"
"Saint Mary's","saint-marys-ca"
"Saint Peter's","saint-peters"
"San Diego State","san-diego-state"
"Seton Hall","seton-hall"
"South Carolina","south-carolina"
"South Dakota State","south-dakota-state"
"South Florida","south-florida"
"Southern","southern"
"Southern Methodist","southern-methodist"
"Southern Mississippi","southern-mississippi"
